TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2023-01-16,2023-01-16,ABB,A,2896.35,2914.85,2864.7,2871.7,2900.95,963,4309,12436437.0
2023-01-16,2023-01-16,AEGISLOG,A,361.95,361.95,354.65,355.95,358.45,478,8314,2963515.0
2023-01-16,2023-01-16,ARE&M,A,576.1,588.0,565.85,568.35,576.1,2662,35763,20614911.0
2023-01-16,2023-01-16,AMBALALSA,X,27.3,27.4,26.35,26.45,26.8,231,51047,1361020.0
2023-01-16,2023-01-16,HDFC,A,2640.05,2648.55,2585.1,2594.75,2621.7,4320,27501,71775818.0
2023-01-16,2023-01-16,ANDHRAPET,X,74.55,75.5,71.0,74.85,74.5,556,76946,5669990.0
2023-01-16,2023-01-16,ANSALAPI,T,14.0,14.2,14.0,14.0,14.7,121,157824,2209536.0
2023-01-16,2023-01-16,UTIQUE,X,5.92,5.92,5.61,5.73,5.73,150,22297,127971.0
2023-01-16,2023-01-16,ARUNAHTEL,X,13.85,14.4,13.85,14.1,13.75,25,5033,70952.0
2023-01-16,2023-01-16,BOMDYEING,B,78.2,79.0,77.5,78.05,78.2,452,36524,2854183.0
2023-01-16,2023-01-16,ASIANHOTNR,B,79.5,85.0,79.5,81.3,79.6,76,17144,1406123.0
2023-01-16,2023-01-16,ATUL,A,7705.2,7847.2,7704.35,7753.35,7701.2,576,1213,9428657.0
2023-01-16,2023-01-16,ATVPR,XT,10.0,10.0,9.75,9.94,9.86,35,4947,48819.0
2023-01-16,2023-01-16,BAJAJELEC,A,1139.05,1161.3,1136.45,1150.5,1144.25,632,3553,4093377.0
2023-01-16,2023-01-16,BAJAJHIND,A,16.0,16.1,15.75,15.8,15.95,2068,947941,15047475.0
2023-01-16,2023-01-16,FORCEMOT,B,1540.0,1576.3,1535.0,1550.15,1551.15,600,3174,4943467.0
2023-01-16,2023-01-16,BAJFINANCE,A,6018.95,6073.4,5975.05,6011.3,5978.35,9295,55265,332994093.0
2023-01-16,2023-01-16,BALRAMCHIN,A,395.35,398.5,390.5,394.45,394.15,1728,43546,17168964.0
2023-01-16,2023-01-16,BANCOINDIA,B,203.0,203.0,198.0,198.75,199.65,1989,28634,5712722.0
2023-01-16,2023-01-16,ABREL,A,713.0,718.4,699.05,701.15,715.55,439,3741,2640926.0
2023-01-16,2023-01-16,BANARISUG,B,2818.55,2818.55,2781.0,2791.45,2820.35,17,18,50335.0
2023-01-16,2023-01-16,BASF,A,2750.0,2760.85,2729.85,2743.15,2755.8,102,216,591396.0
2023-01-16,2023-01-16,BATAINDIA,A,1578.65,1593.5,1564.0,1566.95,1578.65,1091,5462,8628536.0
2023-01-16,2023-01-16,BEML,A,1526.05,1549.0,1509.75,1515.75,1526.0,607,4114,6307640.0
2023-01-16,2023-01-16,BEL,A,100.15,103.0,100.15,102.15,99.9,4372,549289,56087450.0
2023-01-16,2023-01-16,BEPL,A,118.35,118.95,115.25,115.7,117.85,1042,41854,4899505.0
2023-01-16,2023-01-16,BIHSPONG,XT,11.2,11.65,10.9,11.03,11.2,165,42771,482839.0
2023-01-16,2023-01-16,BIRLACABLE,B,149.55,150.7,146.25,147.25,149.65,575,17706,2620919.0
2023-01-16,2023-01-16,BLUESTARCO,A,1242.0,1247.35,1221.6,1239.65,1241.75,474,1286,1589643.0
2023-01-16,2023-01-16,DISAQ,X,8449.95,8500.0,8400.0,8496.05,8364.95,89,3301,28052425.0
2023-01-16,2023-01-16,QUESTCAP,X,250.0,250.0,225.05,229.5,223.9,44,1417,328369.0
2023-01-16,2023-01-16,BPL,B,74.6,74.6,71.05,71.4,73.15,627,30312,2181194.0
2023-01-16,2023-01-16,OAL,B,421.7,421.7,405.8,409.75,413.15,90,505,206987.0
2023-01-16,2023-01-16,CENTEXT,B,10.0,10.0,9.73,9.75,9.82,175,22008,215730.0
2023-01-16,2023-01-16,CESC,A,74.9,74.9,73.55,73.8,73.9,770,87255,6459421.0
2023-01-16,2023-01-16,CHAMBLFERT,A,306.05,308.55,298.55,300.0,306.8,2867,129310,39111815.0
2023-01-16,2023-01-16,EXIDEIND,A,181.7,185.4,181.7,182.95,183.05,3265,131573,24129214.0
2023-01-16,2023-01-16,CIPLA,A,1067.0,1074.9,1050.65,1060.0,1068.25,2627,26358,27945266.0
2023-01-16,2023-01-16,DICIND,B,383.6,386.45,379.0,381.25,389.9,49,457,175441.0
2023-01-16,2023-01-16,CRISIL,A,3041.35,3067.0,3013.55,3025.1,3022.2,313,885,2688093.0
2023-01-16,2023-01-16,CGPOWER,A,312.0,315.5,300.0,302.4,308.9,6453,307922,95032884.0
2023-01-16,2023-01-16,DABUR,A,544.15,553.8,542.95,553.1,544.1,2372,36283,19988536.0
2023-01-16,2023-01-16,DALMIASUG,A,383.25,383.25,367.25,370.1,372.8,587,10030,3710675.0
2023-01-16,2023-01-16,ARVIND,A,89.85,89.85,87.3,87.55,89.05,736,37789,3330668.0
2023-01-16,2023-01-16,BALARPURIND,Z,1.07,1.09,1.04,1.04,1.09,304,962146,1006808.0
2023-01-16,2023-01-16,BHEL,A,80.8,81.75,79.5,79.7,80.7,4325,925715,74393013.0
2023-01-16,2023-01-16,HINDPETRO,A,251.25,251.55,246.45,247.25,251.2,1855,57402,14239481.0
2023-01-16,2023-01-16,IFCI,A,13.62,14.25,13.62,13.84,13.67,2568,4191418,58746516.0
2023-01-16,2023-01-16,MTNL,B,26.2,26.2,25.2,25.3,25.9,1254,502261,12867784.0
2023-01-16,2023-01-16,MRPL,A,57.95,58.3,57.45,57.8,57.9,2189,311126,18000363.0
2023-01-16,2023-01-16,CHENNPETRO,A,228.4,232.3,224.8,225.7,228.4,1191,45179,10265553.0
2023-01-16,2023-01-16,RELCAPITAL,T,11.21,11.21,11.21,11.21,11.8,259,118901,1332880.0
2023-01-16,2023-01-16,SBIN,A,601.15,606.0,600.7,603.0,600.05,5406,245456,148023192.0
2023-01-16,2023-01-16,SAIL,A,89.0,89.7,87.55,87.85,88.85,5768,867859,76524633.0
2023-01-16,2023-01-16,TITAN,A,2435.75,2435.75,2392.2,2405.8,2417.65,6741,39489,95014927.0
2023-01-16,2023-01-16,IDBI,A,54.65,56.1,54.65,55.5,54.5,6035,1588089,88312891.0
2023-01-16,2023-01-16,DCW,B,50.95,52.1,50.25,51.75,50.25,1219,157162,8076767.0
2023-01-16,2023-01-16,DHAMPURSUG,A,239.7,239.7,233.5,233.8,235.15,379,7587,1780306.0
2023-01-16,2023-01-16,DIAMINESQ,X,425.5,438.0,422.05,424.35,426.2,131,3791,1616871.0
2023-01-16,2023-01-16,ELANTAS,B,4235.0,4297.35,4150.0,4194.95,4271.55,46,74,311465.0
2023-01-16,2023-01-16,DRREDDY,A,4310.05,4351.0,4290.45,4326.5,4323.7,725,2307,9959336.0
2023-01-16,2023-01-16,EIDPARRY,A,548.05,553.2,542.15,544.85,548.95,398,3487,1898473.0
2023-01-16,2023-01-16,PGHL,A,4065.0,4121.0,4047.3,4112.4,4070.95,200,365,1491244.0
2023-01-16,2023-01-16,ELECTCAST,B,37.85,38.75,37.25,37.35,38.05,822,127605,4861102.0
2023-01-16,2023-01-16,ESABINDIA,A,3952.2,3964.3,3905.0,3937.65,3952.3,113,216,847768.0
2023-01-16,2023-01-16,EPL,A,165.05,169.0,164.35,165.35,168.05,710,16650,2760566.0
2023-01-16,2023-01-16,ESTER,B,130.0,130.5,127.55,128.2,129.1,338,3563,459470.0
2023-01-16,2023-01-16,FGP,X,6.61,6.61,6.26,6.41,6.65,22,4613,29795.0
2023-01-16,2023-01-16,PHCAP,X,95.25,97.0,88.05,88.5,88.0,57,1557,142331.0
2023-01-16,2023-01-16,FINCABLES,A,555.0,559.5,552.15,556.55,552.35,882,11955,6643184.0
2023-01-16,2023-01-16,COCKERILL,X,1479.25,1495.0,1440.0,1478.85,1446.55,206,2602,3831212.0
2023-01-16,2023-01-16,UFLEX,A,560.1,569.95,557.0,559.3,567.7,435,4094,2297661.0
2023-01-16,2023-01-16,FOSECOIND,B,1959.65,1985.0,1935.0,1984.35,1960.75,64,162,317783.0
2023-01-16,2023-01-16,GOLDENTOBC,Z,63.55,68.85,63.55,65.0,66.8,9,379,24438.0
2023-01-16,2023-01-16,GANESHBE,B,136.3,139.1,136.3,138.45,135.75,205,3173,437808.0
2023-01-16,2023-01-16,METROGLOBL,X,88.0,88.05,87.05,87.1,88.0,7,509,44338.0
2023-01-16,2023-01-16,GTL,B,7.49,7.88,7.49,7.71,7.83,112,50145,389636.0
2023-01-16,2023-01-16,GODFRYPHLP,A,2037.7,2044.25,1930.25,1947.95,2037.7,1059,6774,13475013.0
2023-01-16,2023-01-16,GODREJIND,A,441.3,448.25,441.3,443.6,446.9,390,3215,1429529.0
2023-01-16,2023-01-16,KANSAINER,A,416.0,416.0,409.55,412.2,413.5,546,6337,2607371.0
2023-01-16,2023-01-16,GOODRICKE,X,206.5,211.85,203.5,205.7,207.45,72,3033,626156.0
