TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2023-12-05,2023-12-05,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB Ltd.,4624.05,4864.65,4594.60,4847.75,4845.30,4622.75,,4846.60,,,14097,66822582.00,2757,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,Aegis Logistics Ltd.,367.45,367.45,360.95,363.85,363.00,363.00,,363.80,,,39400,14310644.00,1463,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility Limited,774.00,777.70,751.45,757.25,757.25,768.00,,757.70,,,49485,37821308.00,2097,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500009,INE432A01017,AMBALALSA,XT,,,,,Ambalal Sarabhai Enterprise Ltd.,41.00,41.00,40.00,40.00,40.00,40.77,,40.00,,,52805,2135836.00,122,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,Andhra Petrochemicals Ltd.,78.90,79.10,76.00,77.90,77.90,77.83,,77.90,,,79266,6175560.00,630,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,Ansal Properties & Infrastructure Ltd.,10.63,10.63,10.63,10.63,10.63,10.13,,10.80,,,2678,28467.00,10,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,6.42,6.55,6.42,6.49,6.55,6.49,,6.49,,,41187,267220.00,156,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA SUNRIS,17.00,17.70,16.40,16.75,16.60,16.48,,16.75,,,32154,544898.00,87,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,Bombay Dyeing & Mfg. Co. Ltd.,153.65,157.50,152.20,153.05,153.20,153.60,,153.05,,,98752,15242831.00,1917,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIANHOTNR,241.20,241.20,230.10,230.10,230.10,231.00,,229.10,,,32,7607.00,5,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6706.60,6840.95,6706.60,6781.00,6769.50,6741.80,,6781.35,,,863,5860013.00,318,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV Projects India Ltd,14.64,14.64,14.64,14.64,14.64,14.93,,14.64,,,20250,296460.00,40,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,Bajaj Electricals Ltd.,1015.95,1023.55,1011.85,1017.80,1019.60,1008.70,,1018.40,,,3896,3968029.00,400,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,Bajaj Hindusthan Sugar Limited,33.69,33.75,32.23,32.41,32.41,33.31,,32.45,,,2591488,84607837.00,6497,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500033,INE451A01017,FORCEMOT,B,,,,,Force Motors Limited,4195.00,4238.40,4080.00,4167.70,4167.70,4177.20,,4167.70,,,40964,170994703.00,3248,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ AUTO F,7434.00,7435.00,7322.90,7349.75,7350.00,7404.80,,7349.80,,,17913,131960406.00,3270,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,Balrampur Chini Mills Ltd.,469.05,472.15,461.50,466.05,466.40,468.35,,465.90,,,30967,14436578.00,1087,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,Banco Products (India) Ltd.,552.00,563.00,551.50,552.90,553.65,552.25,,552.75,,,28937,16109613.00,1827,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXT,1332.95,1354.70,1303.00,1332.10,1325.00,1321.30,,1330.60,,,7664,10253824.00,750,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,Bannari Amman Sugars Ltd.,2540.00,2549.95,2505.00,2518.00,2518.00,2523.60,,2519.05,,,64,161980.00,19,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA,2960.05,3019.95,2918.90,2999.95,3001.95,2969.75,,3002.40,,,2189,6499552.00,629,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDI LT,1616.05,1656.00,1616.05,1650.05,1648.30,1629.00,,1649.45,,,5429,8910659.00,529,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD,2490.20,2490.75,2385.00,2408.50,2419.40,2470.20,,2411.20,,,18147,44043879.00,2018,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECT,154.00,155.00,150.00,151.95,151.95,153.55,,152.00,,,2039458,310600472.00,18598,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHAN ENG POL,92.67,93.47,91.44,91.81,91.81,92.67,,91.84,,,129950,12004520.00,2568,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,Bihar Sponge Iron Ltd,10.30,10.63,10.00,10.29,10.29,10.30,,10.29,,,150696,1528187.00,187,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,Binani Industries Limited,16.30,16.42,16.10,16.10,16.10,16.10,,16.10,,,3200,52057.00,11,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,269.00,269.00,262.00,263.10,263.40,264.60,,262.90,,,11475,3030563.00,678,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,Blue Star Ltd,985.15,1026.55,985.15,1020.45,1020.45,991.40,,1024.65,,,10020,10199711.00,875,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA,13820.00,14080.90,13803.00,14010.20,14000.00,14011.65,,14010.20,,,144,2019414.00,34,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,295.00,295.00,285.00,289.55,290.00,287.45,,289.55,,,1441,414860.00,32,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL Ltd.,84.62,84.62,83.00,83.00,83.00,84.62,,83.00,,,8065,673710.00,46,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,349.65,352.15,345.00,349.70,349.65,348.15,,350.60,,,1765,616159.00,302,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXT,17.75,17.75,16.80,17.04,17.15,17.30,,17.05,,,54558,933758.00,300,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD,109.96,118.90,108.49,117.07,117.07,108.82,,117.29,,,2726224,308931439.00,16284,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERT,326.45,328.90,321.30,328.25,328.25,325.10,,328.35,,,253346,82572841.00,6178,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,Exide Industries Ltd.,296.75,296.75,290.30,292.30,292.30,294.00,,292.30,,,302691,88577617.00,7201,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,Cipla Ltd.,1224.70,1227.50,1215.60,1224.10,1224.10,1216.55,,1224.45,,,56661,69241288.00,3496,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA,445.00,461.20,437.25,460.50,460.90,441.10,,458.00,,,1153,522435.00,176,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL Ltd.,4249.95,4278.25,4202.45,4232.75,4247.25,4229.05,,4231.90,,,443,1875145.00,187,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Solutions Limited,476.85,476.85,463.05,473.20,473.20,469.35,,473.25,,,92969,43603992.00,2582,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA,549.85,552.40,547.00,551.90,552.30,547.10,,552.00,,,145692,80209615.00,6449,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,Dalmia Bharat Sugar and Industries Ltd,462.15,464.35,444.10,449.70,449.70,458.80,,449.85,,,21786,9864866.00,1280,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND Ltd,228.30,231.90,221.95,223.40,224.30,225.45,,223.55,,,42627,9629846.00,1060,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,Bharat Heavy Electricals Ltd.,174.50,181.65,173.45,176.75,176.75,174.10,,176.70,,,3663489,651037903.00,25507,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PE,378.50,391.25,374.35,381.30,381.30,376.50,,381.45,,,761470,292212084.00,15305,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD,28.52,29.50,27.26,27.59,27.59,28.46,,27.60,,,12762485,359897376.00,14952,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500108,INE153A01019,MTNL,A,,,,,MAHANAG TELE,32.53,32.55,30.45,30.90,30.90,32.19,,30.90,,,904221,28298013.00,1974,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE RE,126.70,126.80,122.30,124.85,124.85,125.20,,124.90,,,432184,53746307.00,3235,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETR,674.95,688.00,671.55,675.25,679.55,669.55,,675.85,,,43323,29420581.00,1611,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,State Bank Of India,594.65,611.35,594.65,608.40,608.40,594.65,,608.25,,,951698,576731964.00,15404,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHOR,94.39,96.80,93.44,95.69,95.69,93.95,,95.75,,,3706974,352278045.00,13236,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,Titan Company Limited,3499.70,3550.00,3478.35,3546.30,3545.00,3487.70,,3545.30,,,61878,218834401.00,2037,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI LTD,63.89,64.72,63.50,63.92,63.83,63.31,,63.90,,,832917,53368776.00,2184,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500117,INE500A01029,DCW,A,,,,,DCW Ltd.,51.99,54.70,51.59,53.46,53.46,51.85,,53.41,,,996176,53284302.00,4820,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,A,,,,,Dhampur Sugar Mills Ltd.,275.95,275.95,267.20,268.05,268.95,271.35,,268.20,,,41059,11063642.00,1497,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINE CHEM,538.00,538.00,510.00,512.75,515.00,522.85,,514.10,,,3582,1854807.00,383,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS,7834.95,7835.00,7710.05,7737.25,7737.10,7789.80,,7737.25,,,151,1175098.00,42,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500124,INE089A01023,DRREDDY,A,,,,,DR.REDDY'S L,5767.00,5820.35,5742.60,5776.15,5777.65,5749.30,,5776.45,,,4862,28093981.00,779,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500125,INE126A01031,EIDPARRY,A,,,,,E.I.D. Parry (India) Ltd.,548.45,550.85,538.05,548.45,546.00,543.95,,548.30,,,21404,11674656.00,769,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500126,INE199A01012,PGHL,A,,,,,PROCTER & GAMBLE HEALTH LIMITED,5199.95,5199.95,5108.95,5133.95,5133.95,5160.45,,5129.70,,,195,1002493.00,79,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500128,INE086A01029,ELECTCAST,A,,,,,Electrosteel Castings Ltd.,112.05,113.65,106.55,110.00,110.00,111.95,,110.00,,,354903,38915776.00,3399,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500133,INE284A01012,ESABINDIA,A,,,,,ESAB INDIA,5889.65,5944.50,5872.00,5896.50,5892.55,5883.90,,5898.95,,,332,1957627.00,177,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500135,INE255A01020,EPL,A,,,,,EPL LIMITED,197.25,198.95,196.60,198.10,198.15,197.80,,198.05,,,23125,4569189.00,560,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500136,INE778B01029,ESTER,B,,,,,Ester Industries Ltd.,92.80,93.50,89.65,90.02,90.40,89.38,,90.19,,,32867,3003107.00,491,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500142,INE512A01016,FGP,X,,,,,FGP Ltd,6.40,6.40,6.03,6.06,6.04,6.27,,6.06,,,8738,53235.00,27,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500143,INE160F01013,PHCAP,X,,,,,P.H.CAPITAL,93.40,93.49,90.50,90.62,90.62,92.24,,90.62,,,2671,245828.00,31,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500144,INE235A01022,FINCABLES,A,,,,,Finolex Cables Ltd.,1034.95,1052.00,1012.90,1042.90,1038.00,1018.05,,1044.80,,,85377,88133795.00,3751,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500147,INE515A01019,COCKERILL,B,,,,,JOHN COCKERILL INDIA LIMITED,2998.50,3029.95,2962.00,3018.15,3024.90,2985.70,,3018.15,,,2110,6320559.00,212,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500148,INE516A01017,UFLEX,A,,,,,UFLEX LTD,465.00,465.00,455.00,455.50,455.35,456.75,,455.70,,,2596,1190198.00,241,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500150,INE519A01011,FOSECOIND,B,,,,,FOSECO INDA,3520.00,3568.25,3472.50,3556.85,3566.00,3519.25,,3552.25,,,246,862034.00,88,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500151,INE973A01010,GOLDENTOBC,Z,,,,,Golden Tobacco Ltd.,51.06,52.92,51.05,52.18,51.99,51.80,,51.24,,,2265,116574.00,36,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500153,INE388A01029,GANESHBE,B,,,,,Ganesh Benzoplast Ltd.,164.95,170.45,164.05,169.55,169.95,163.80,,169.65,,,99457,16738443.00,1393,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500159,INE085D01033,METROGLOBL,X,,,,,Metroglobal Limited,105.65,106.00,104.00,104.15,104.95,105.65,,104.15,,,3483,366175.00,74,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500160,INE043A01012,GTL,T,,,,,GTL Ltd,7.59,7.74,7.59,7.74,7.74,7.59,,7.74,,,98144,750821.00,125,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500163,INE260B01028,GODFRYPHLP,A,,,,,Godfrey Phillips India Ltd.,2110.00,2127.00,2100.05,2122.80,2117.75,2098.15,,2121.85,,,1386,2934651.00,334,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500164,INE233A01035,GODREJIND,A,,,,,Godrej Industries Ltd.,653.95,654.25,642.40,644.35,643.00,648.15,,644.05,,,18715,12122585.00,1271,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500165,INE531A01024,KANSAINER,A,,,,,Kansai Nerolac Paints,319.00,323.60,317.95,322.85,322.85,319.30,,322.50,,,9490,3044560.00,578,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500166,INE300A01016,GOODRICKE,X,,,,,Goodricke Group Ltd.,192.50,192.70,187.00,189.00,188.70,190.45,,189.00,,,15054,2855201.00,279,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500168,INE533A01012,GOODYEAR,B,,,,,GOODYEA INDI,1330.00,1330.00,1315.00,1321.60,1324.95,1313.15,,1321.60,,,10306,13623205.00,826,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500170,INE537A01013,GTNINDS,X,,,,,GTN Industries Limited,36.19,36.90,35.80,36.75,36.75,36.61,,36.75,,,9703,355782.00,58,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500171,INE539A01019,GHCL,A,,,,,GHCL LTD,561.00,561.00,549.15,553.35,557.00,558.35,,554.25,,,7325,4057661.00,612,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500173,INE538A01037,GFLLIMITED,B,,,,,GFL LIMITED,102.00,108.25,98.85,103.84,103.99,98.98,,103.65,,,95978,10042164.00,3647,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500174,INE540A01017,GLFL,B,,,,,Gujarat Lease Financing Limited,3.90,3.90,3.90,3.90,3.90,4.10,,3.90,,,2059,8030.00,6,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500179,INE236A01020,HCL-INSYS,B,,,,,HCL Infosystems Ltd,17.40,17.45,17.21,17.26,17.28,17.35,,17.25,,,236525,4095391.00,1059,F1,1,,,,,
