date,market,symbol,entry_date,buy_price,current_price,pct_move,target,stop_loss,days_held,status,exit_signal,validation
2026-08-29,NSE,CYIENT,2026-08-29,1107.45,1107.45,0.0,1240.34,996.61,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-30,NSE,CYIENT,2026-08-29,1107.45,1107.45,0.0,1240.34,996.61,1,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,CYIENT,2026-08-29,1107.45,1107.45,0.0,1240.34,996.61,2,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,CYIENT,2026-08-29,1107.45,1107.45,0.0,1240.34,996.61,2,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,OMAXE,2026-08-31,129.0,131.74,2.12,144.48,109.41,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,CYIENT,2026-08-29,1107.45,1174.8,6.08,1240.34,1048.16,2,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,OMAXE,2026-08-31,129.0,125.52,-2.7,144.48,109.41,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,MANALIPETC,2026-08-31,81.75,81.75,0.0,91.56,69.98,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,FMGOETZE,2026-08-31,624.85,624.85,0.0,699.83,543.86,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,CYIENT,2026-08-29,1107.45,1174.8,6.08,1240.34,1048.16,2,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,OMAXE,2026-08-31,129.0,125.52,-2.7,144.48,109.41,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,MANALIPETC,2026-08-31,81.75,81.75,0.0,91.56,69.98,0,OPEN,HOLD (too early to judge),Monitoring
2026-08-31,NSE,FMGOETZE,2026-08-31,624.85,624.85,0.0,699.83,543.86,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,CYIENT,2026-08-29,1107.45,1174.8,6.08,1240.34,1048.16,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,OMAXE,2026-08-31,129.0,125.52,-2.7,144.48,109.41,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,MANALIPETC,2026-08-31,81.75,81.75,0.0,91.56,69.98,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,FMGOETZE,2026-08-31,624.85,624.85,0.0,699.83,543.86,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,CYIENT,2026-08-29,1107.45,1164.6,5.16,1240.34,1048.16,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,OMAXE,2026-08-31,129.0,126.77,-1.73,144.48,109.41,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,MANALIPETC,2026-08-31,81.75,84.04,2.8,91.56,71.77,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-01,NSE,FMGOETZE,2026-08-31,624.85,624.85,0.0,699.83,546.6,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,CYIENT,2026-08-29,1107.45,1164.6,5.16,1240.34,1048.16,4,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,OMAXE,2026-08-31,129.0,126.77,-1.73,144.48,109.41,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,MANALIPETC,2026-08-31,81.75,84.04,2.8,91.56,71.77,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,FMGOETZE,2026-08-31,624.85,624.85,0.0,699.83,546.6,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,CYIENT,2026-08-29,1107.45,1164.6,5.16,1240.34,1048.16,4,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,OMAXE,2026-08-31,129.0,126.77,-1.73,144.48,109.41,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,MANALIPETC,2026-08-31,81.75,84.04,2.8,91.56,71.77,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,FMGOETZE,2026-08-31,624.85,624.85,0.0,699.83,546.6,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,CYIENT,2026-08-29,1107.45,1122.2,1.33,1240.34,1048.16,4,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,OMAXE,2026-08-31,129.0,132.67,2.84,144.48,109.41,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,MANALIPETC,2026-08-31,81.75,82.76,1.24,91.56,71.83,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,FMGOETZE,2026-08-31,624.85,612.4,-1.99,699.83,547.62,2,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,INDOCO,2026-09-02,273.77,273.77,0.0,306.62,236.88,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-02,NSE,BODALCHEM,2026-09-02,145.45,145.45,0.0,162.9,117.69,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,CYIENT,2026-08-29,1107.45,1122.2,1.33,1240.34,1048.16,5,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,OMAXE,2026-08-31,129.0,132.67,2.84,144.48,109.41,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,MANALIPETC,2026-08-31,81.75,82.76,1.24,91.56,71.83,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,FMGOETZE,2026-08-31,624.85,612.4,-1.99,699.83,547.62,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,INDOCO,2026-09-02,273.77,273.77,0.0,306.62,236.88,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,BODALCHEM,2026-09-02,145.45,145.45,0.0,162.9,117.69,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,CYIENT,2026-08-29,1107.45,1122.2,1.33,1240.34,1048.16,5,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,OMAXE,2026-08-31,129.0,132.67,2.84,144.48,109.41,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,MANALIPETC,2026-08-31,81.75,82.76,1.24,91.56,71.83,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,FMGOETZE,2026-08-31,624.85,612.4,-1.99,699.83,547.62,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,INDOCO,2026-09-02,273.77,273.77,0.0,306.62,236.88,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,BODALCHEM,2026-09-02,145.45,145.45,0.0,162.9,117.69,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,WAKEFIT,2026-09-03,152.47,152.47,0.0,170.77,132.22,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,HATSUN,2026-09-03,1193.6,1193.6,0.0,1336.83,1060.57,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,CYIENT,2026-08-29,1107.45,1122.2,1.33,1240.34,1048.16,5,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,OMAXE,2026-08-31,129.0,132.67,2.84,144.48,109.41,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,MANALIPETC,2026-08-31,81.75,82.76,1.24,91.56,71.83,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,FMGOETZE,2026-08-31,624.85,612.4,-1.99,699.83,547.62,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,INDOCO,2026-09-02,273.77,273.77,0.0,306.62,236.88,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,BODALCHEM,2026-09-02,145.45,145.45,0.0,162.9,117.69,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,WAKEFIT,2026-09-03,152.47,152.47,0.0,170.77,132.22,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,HATSUN,2026-09-03,1193.6,1193.6,0.0,1336.83,1060.57,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,BSE,NIACL,2026-09-03,199.15,199.15,0.0,223.05,177.44,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,CYIENT,2026-08-29,1107.45,1122.2,1.33,1240.34,1048.16,5,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,OMAXE,2026-08-31,129.0,132.67,2.84,144.48,109.41,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,MANALIPETC,2026-08-31,81.75,82.76,1.24,91.56,71.83,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,FMGOETZE,2026-08-31,624.85,612.4,-1.99,699.83,547.62,3,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,INDOCO,2026-09-02,273.77,273.77,0.0,306.62,236.88,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,BODALCHEM,2026-09-02,145.45,145.45,0.0,162.9,117.69,1,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,WAKEFIT,2026-09-03,152.47,152.47,0.0,170.77,132.22,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,HATSUN,2026-09-03,1193.6,1193.6,0.0,1336.83,1060.57,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,BSE,NIACL,2026-09-03,199.15,199.15,0.0,223.05,177.44,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,BEML,2026-09-03,2032.4,2032.4,0.0,2276.29,1849.96,0,OPEN,HOLD (too early to judge),Monitoring
2026-09-03,NSE,JTLIND,2026-09-03,92.4,92.4,0.0,103.49,81.19,0,OPEN,HOLD (too early to judge),Monitoring
